species,y,x
Rusa unicolor,14.429693,101.372625
Rusa unicolor,14.438327,101.371016
Rusa unicolor,14.423608,101.38488
Rusa unicolor,14.468857,101.380051
Rusa unicolor,14.383886,101.35028
Rusa unicolor,14.427843,101.382759
Rusa unicolor,14.438372,101.372479
Rusa unicolor,12.798,99.4558
Rusa unicolor,14.33209,101.57102
Rusa unicolor,14.332045,101.571036
Rusa unicolor,14.438443,101.371284
Rusa unicolor,16.392819,101.570878
Rusa unicolor,14.312258,101.381948
Rusa unicolor,14.436329,101.372696
Rusa unicolor,14.438096,101.371651
Rusa unicolor,14.438332,101.370994
Rusa unicolor,14.452328,101.369049
Rusa unicolor,14.416555,101.376274
Rusa unicolor,14.432394,101.400596
Rusa unicolor,14.438072,101.371513
Rusa unicolor,18.82608,99.389854
Rusa unicolor,16.334341,101.518152
Rusa unicolor,14.444334,101.327259
Rusa unicolor,14.560139,101.240393
Rusa unicolor,14.551609,101.328357
Rusa unicolor,14.523717,101.261455
Rusa unicolor,14.489207,101.312182
Rusa unicolor,14.506005,101.337217
Rusa unicolor,14.545256,101.200141
Rusa unicolor,14.558861,101.241953
Rusa unicolor,15.45295,99.258722
Rusa unicolor,14.519924,101.244247
Rusa unicolor,14.507866,101.280685
Rusa unicolor,14.597758,101.216389
Rusa unicolor,14.455726,101.356003
Rusa unicolor,14.428194,101.329152
Rusa unicolor,14.416433,101.343178
Rusa unicolor,14.574105,101.335754
Rusa unicolor,14.518666,101.294033
Rusa unicolor,16.994975,100.872854
Rusa unicolor,14.427133,101.209542
Rusa unicolor,14.455977,101.317597
Rusa unicolor,14.549631,101.218976
Rusa unicolor,14.541095,101.385254
Rusa unicolor,14.552056,101.314707
Rusa unicolor,14.56729,101.264512
Rusa unicolor,14.477193,101.309627
Rusa unicolor,14.421545,101.374697
Rusa unicolor,14.566479,101.336996
Rusa unicolor,14.493402,101.218913
Rusa unicolor,14.401521,101.210466
Rusa unicolor,14.500636,101.381231
Rusa unicolor,14.421461,101.089236
Rusa unicolor,14.479694,101.303898
Rusa unicolor,14.582511,101.273188
Rusa unicolor,14.486049,101.377603
Rusa unicolor,14.72923,100.832931
Rusa unicolor,14.510958,101.303464
Rusa unicolor,14.480009,101.207488
Rusa unicolor,14.519212,101.283375
Rusa unicolor,14.564999,101.316273
Rusa unicolor,14.574618,101.246151
Rusa unicolor,14.44074,101.340732
Rusa unicolor,14.431058,101.283334
Rusa unicolor,14.576801,101.276163
Rusa unicolor,14.547461,101.393185
Rusa unicolor,14.483217,101.284459
Rusa unicolor,14.536284,101.360697
Rusa unicolor,14.35415,102.112784
Rusa unicolor,14.379891,101.411665
Rusa unicolor,14.274979,102.17357
Rusa unicolor,14.429418,101.252157
Rusa unicolor,14.407923,101.363953
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.409077,101.372223
Rusa unicolor,14.593736,101.215719
Rusa unicolor,14.455019,101.250057
Rusa unicolor,14.421682,101.322141
Rusa unicolor,14.404295,101.365857
Rusa unicolor,14.442949,101.268501
Rusa unicolor,14.346086,101.573751
Rusa unicolor,14.491007,101.294869
Rusa unicolor,14.474309,101.210666
Rusa unicolor,14.262125,101.406366
Rusa unicolor,14.597002,101.29811
Rusa unicolor,14.511217,101.35016
Rusa unicolor,14.973192,101.517969
Rusa unicolor,14.462742,101.299095
Rusa unicolor,16.749263,101.442518
Rusa unicolor,14.586892,101.258187
Rusa unicolor,14.556688,101.290528
Rusa unicolor,14.329341,101.285671
Rusa unicolor,14.510003,101.330249
Rusa unicolor,13.42992,101.919166
Rusa unicolor,13.47207,101.850073
Rusa unicolor,14.444228,101.300355
Rusa unicolor,14.435843,101.395685
Rusa unicolor,14.407307,101.331561
Rusa unicolor,14.595909,101.374007
Rusa unicolor,14.545722,101.256225
Rusa unicolor,14.454047,101.334527
Rusa unicolor,14.422444,101.226514
Rusa unicolor,14.329147,101.401826
Rusa unicolor,14.416185,101.359925
Rusa unicolor,14.468267,101.235057
Rusa unicolor,16.389412,101.44441
Rusa unicolor,14.304747,101.451755
Rusa unicolor,14.572769,101.315091
Rusa unicolor,14.577964,101.203535
Rusa unicolor,14.366048,101.511592
Rusa unicolor,14.51884,101.278168
Rusa unicolor,14.319233,101.573381
Rusa unicolor,14.47478,101.37824
Rusa unicolor,14.520527,101.314137
Rusa unicolor,14.579288,101.213763
Rusa unicolor,14.483622,101.337376
