species,BIO1,BIO12,x,y
Peromyscus maniculatus,-0.808639736,-1.002631104,-120.1000167,39.37980748
Peromyscus maniculatus,0.226384951,-0.676705715,-111.8939817,40.46283748
Peromyscus maniculatus,-1.239900022,-0.773602452,-116.3094117,48.21066748
Peromyscus maniculatus,1.692669924,-0.377206709,-119.7251217,34.46451748
Peromyscus maniculatus,1.196720595,-0.606235361,-119.5585017,34.92272248
Peromyscus maniculatus,-0.420505478,-1.059888267,-112.3938417,42.75386248
Peromyscus maniculatus,-0.377379449,0.516885913,-82.02734667,40.29621748
Peromyscus maniculatus,0.26951098,-0.258287986,-122.2660767,47.54418748
Peromyscus maniculatus,1.067342509,0.230600098,-118.4754717,33.38148748
Peromyscus maniculatus,0.075443851,-0.284714369,-122.4743517,44.21178748
Peromyscus maniculatus,-0.334253421,0.331901232,-85.60967667,42.17069248
Peromyscus maniculatus,-0.549883564,-1.222850962,-119.8084317,39.54642748
Peromyscus maniculatus,0.592956195,-0.35958912,-101.8967817,38.08850248
Peromyscus maniculatus,1.045779495,-0.319949546,-121.1830467,36.46395748
Peromyscus maniculatus,0.204821937,-0.161391248,-123.3491067,43.29537748
Peromyscus maniculatus,-1.390841122,-0.491721035,-89.15035167,47.91908248
Peromyscus maniculatus,0.183258923,-0.32875834,-101.0636817,40.71276748
Peromyscus maniculatus,1.563291839,-0.32875834,-120.0583617,34.67279248
Peromyscus maniculatus,-0.636135621,-0.852881601,-119.4751917,44.29509748
Peromyscus maniculatus,-0.873328779,-0.117347277,-85.02650667,45.62805748
Peromyscus maniculatus,-0.787076721,-0.976204721,-120.2249817,39.42146248
Peromyscus maniculatus,-0.183312321,0.653422224,-86.10953667,39.92132248
Peromyscus maniculatus,-0.571446578,0.230600098,-83.73520167,42.25400248
Peromyscus maniculatus,0.183258923,-0.223052809,-122.0161467,47.66915248
Peromyscus maniculatus,-0.485194521,0.327496835,-79.11149667,40.33787248
Peromyscus maniculatus,-0.657698635,-0.51374302,-121.3913217,45.66971248
Peromyscus maniculatus,0.097006865,-0.341971532,-122.6409717,48.16901248
Peromyscus maniculatus,-1.326152079,-1.015844296,-114.5599017,47.00267248
Peromyscus maniculatus,-1.110521936,-0.223052809,-92.10785667,45.33647248
Peromyscus maniculatus,-0.851765764,-0.016046143,-73.02986667,44.17013248
Peromyscus maniculatus,-0.420505478,-1.059888267,-112.3938417,42.75386248
Peromyscus maniculatus,0.873275381,-0.32875834,-122.5993167,38.33843248
Peromyscus maniculatus,-0.873328779,0.182151729,-74.36282667,41.62917748
Peromyscus maniculatus,0.032317822,-0.408037489,-122.7659367,48.04404748
Peromyscus maniculatus,-0.010808206,-0.126156071,-123.9322767,45.96129748
Peromyscus maniculatus,-0.851765764,-0.588617772,-121.6412517,44.58668248
Peromyscus maniculatus,0.787023323,0.904472862,-95.85680667,36.67223248
Peromyscus maniculatus,0.053880837,-0.086516497,-123.5157267,44.29509748
Peromyscus maniculatus,-1.498656194,-0.408037489,-68.94767667,45.87798748
Peromyscus maniculatus,0.010754808,-0.980609118,-111.6023967,35.29761748
Peromyscus maniculatus,0.032317822,0.560929884,-81.48583167,41.37924748
Peromyscus maniculatus,-0.053934235,-0.086516497,-123.4324167,45.08654248
Peromyscus maniculatus,-0.248001364,0.494863927,-81.52748667,41.04600748
